procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 1  0      0 1449632 103840 2011472    0    0   133  2009 9482   47 22 11 67  1  0  0 2026-09-21 17:03:11
 0  0      0 1447104 103840 2011440    0    0     0     0 1049 1221  3  3 95  0  0  0 2026-09-21 17:03:12
 0  0      0 1447104 103840 2011440    0    0     0     0   42   51  0  0 100  0  0  0 2026-09-21 17:03:13
 0  0      0 1447104 103840 2011440    0    0     0     0   34   48  0  0 100  0  0  0 2026-09-21 17:03:14
 0  0      0 1447180 103840 2011740    0    0     0     0 4912 2109  6  2 92  0  0  0 2026-09-21 17:03:15
 0  0      0 1446676 103840 2011888    0    0     0     0 2350 1130  1  1 98  0  0  0 2026-09-21 17:03:16
 0  0      0 1445416 103840 2012460    0    0     0     0 7018 4193  4  2 94  0  0  0 2026-09-21 17:03:17
 1  0      0 1446396 103840 2013140    0    0     0     0 8616 5404  6  4 91  0  0  0 2026-09-21 17:03:18
 0  0      0 1445504 103840 2013988    0    0     0     0 9327 5600  6  4 90  0  0  0 2026-09-21 17:03:19
 0  0      0 1444580 103840 2014612    0    0     0     0 9035 5312  6  4 90  0  0  0 2026-09-21 17:03:20
 0  0      0 1442816 103840 2015792    0    0     0   196 13461 8093  8  7 86  0  0  0 2026-09-21 17:03:21
 0  0      0 1442884 103840 2016708    0    0     0   172 10344 6191  7  6 87  0  0  0 2026-09-21 17:03:22
 0  0      0 1442380 103840 2017848    0    0     0     0 12311 7360  7  6 88  0  0  0 2026-09-21 17:03:23
 0  0      0 1442484 103840 2019064    0    0     0     0 12875 8056  9  8 83  0  0  0 2026-09-21 17:03:24
 1  0      0 1440972 103840 2020384    0    0     0     0 13972 8201  8  7 85  0  0  0 2026-09-21 17:03:25
 2  0      0 1440720 103840 2021496    0    0     0     0 12591 7189  9  7 85  0  0  0 2026-09-21 17:03:26
 1  0      0 1440468 103840 2022912    0    0     0     0 14293 8016  9  9 82  0  0  0 2026-09-21 17:03:27
 3  0      0 1440216 103840 2024276    0    0     0     0 15836 8928  7  7 85  0  0  0 2026-09-21 17:03:28
 1  0      0 1439492 103840 2025996    0    0     0     0 17630 9715 12  8 79  0  0  0 2026-09-21 17:03:29
 1  0      0 1438788 103840 2027716    0    0     0     0 19450 10356 11 10 79  0  0  0 2026-09-21 17:03:30
 1  0      0 1437980 103840 2029332    0    0     0     0 16736 9352 11  9 80  0  0  0 2026-09-21 17:03:31
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 1  0      0 1436972 103840 2031340    0    0     0  5016 20474 11628 13 11 76  1  0  0 2026-09-21 17:03:32
 3  0      0 1436216 103840 2033244    0    0     0     0 20259 10893 15 11 74  0  0  0 2026-09-21 17:03:33
 3  0      0 1434960 103840 2035424    0    0     0     0 22365 11685 13 12 74  0  0  0 2026-09-21 17:03:34
 1  0      0 1433952 103840 2037644    0    0     0     0 22576 11147 17 12 70  0  0  0 2026-09-21 17:03:35
 2  0      0 1432692 103840 2040256    0    0     0     0 23009 12529 17 15 67  0  0  0 2026-09-21 17:03:36
 1  0      0 1430932 103840 2043660    0    0     0  4660 27409 13631 24 18 58  0  0  0 2026-09-21 17:03:37
 1  0      0 1427752 103840 2047168    0    0     0     0 30004 13292 28 21 51  0  0  0 2026-09-21 17:03:38
 4  0      0 1423888 103840 2050960    0    0     0     0 31503 15031 27 21 52  0  0  0 2026-09-21 17:03:39
 3  0      0 1419404 103840 2055228    0    0     0     0 33340 13244 33 24 43  0  0  0 2026-09-21 17:03:40
 2  1      0 1415100 103840 2059956    0    0     0 34820 32620 14575 32 27 41  1  0  0 2026-09-21 17:03:41
 3  0      0 1410064 103840 2065032    0    0     0 13016 32603 11437 40 30 30  1  0  0 2026-09-21 17:03:42
 3  0      0 1404772 103840 2070408    0    0     0    16 37523 13356 38 29 32  0  0  0 2026-09-21 17:03:43
 2  0      0 1399704 103840 2075648    0    0     0     0 36672 11439 41 31 28  0  0  0 2026-09-21 17:03:44
 3  0      0 1394056 103840 2081332    0    0     0     0 37927 11913 39 34 26  0  0  0 2026-09-21 17:03:45
 2  0      0 1388496 103840 2086960    0    0     0     0 37608 9092 48 29 23  0  0  0 2026-09-21 17:03:46
 3  0      0 1380728 103840 2093380    0    0     0 26676 39209 9462 46 39 16  1  0  0 2026-09-21 17:03:47
 2  0      0 1372808 103840 2099792    0    0     0     0 37856 8215 48 34 17  0  0  0 2026-09-21 17:03:48
 3  0      0 1366424 103840 2106632    0    0     0     0 39610 7114 52 38 11  0  0  0 2026-09-21 17:03:49
 3  0      0 1360360 103840 2112688    0    0     0     0 36090 8109 45 35 19  0  0  0 2026-09-21 17:03:50
 2  0      0 1352292 103840 2119540    0    0     0   104 38904 7931 50 38 13  0  0  0 2026-09-21 17:03:51
 0  0      0 1345940 103840 2126120    0    0     0 32108 39977 10082 45 38 15  2  0  0 2026-09-21 17:03:52
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 2  0      0 1339960 103840 2132172    0    0     0     0 36026 3593 53 37 10  0  0  0 2026-09-21 17:03:53
 2  0      0 1331412 103840 2139168    0    0     0     0 38164 6141 50 41  9  0  0  0 2026-09-21 17:03:54
 0  0      0 1324284 103840 2145448    0    0     0     0 36601 10597 44 34 23  0  0  0 2026-09-21 17:03:55
 2  0      0 1317364 103840 2151788    0    0     0     0 37182 3938 53 38  9  0  0  0 2026-09-21 17:03:56
 2  0      0 1309296 103840 2158348    0    0     0     0 40788 7752 48 38 14  0  0  0 2026-09-21 17:03:57
 2  0      0 1302804 103840 2165028    0    0     0     0 40904 7596 49 39 12  0  0  0 2026-09-21 17:03:58
 2  0      0 1297020 103840 2170668    0    0     0     0 40447 10256 41 33 26  0  0  0 2026-09-21 17:03:59
 3  0      0 1289708 103840 2177464    0    0     0     0 38818 4627 51 42  7  0  0  0 2026-09-21 17:04:00
 2  0      0 1282616 103840 2183980    0    0     0     0 38014 9380 47 36 17  0  0  0 2026-09-21 17:04:01
 4  0      0 1274860 103840 2191020    0    0     0     0 38930 7545 49 40 11  0  0  0 2026-09-21 17:04:02
