procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 0  0      0 6514936  34164 824288    0    0     0     0 20501 28323  7  2 90  0  0  0 2026-09-21 16:13:40
 2  0      0 6514936  34164 824288    0    0     0     0 18623 26726  5  2 93  0  0  0 2026-09-21 16:13:41
 0  0      0 6514076  34164 824288    0    0     0     0 21296 29764  6  2 92  0  0  0 2026-09-21 16:13:42
 1  0      0 6513676  34164 824292    0    0     0     0 17759 25402  4  2 94  0  0  0 2026-09-21 16:13:43
 0  0      0 6512416  34164 824292    0    0     0     0 20773 29383  5  2 93  0  0  0 2026-09-21 16:13:44
 0  0      0 6509000  34164 824292    0    0     0     0 20483 28750  5  2 93  0  0  0 2026-09-21 16:13:45
 0  0      0 6495532  34164 824292    0    0     0     0 20065 28255  4  2 94  0  0  0 2026-09-21 16:13:46
 0  0      0 6491248  34164 824292    0    0     0     0 18581 25950  6  2 92  0  0  0 2026-09-21 16:13:47
 0  0      0 6491248  34164 824292    0    0     0     0 19602 27713  5  2 92  0  0  0 2026-09-21 16:13:48
 0  0      0 6490824  34164 824292    0    0     0    20 20223 28795  5  3 92  0  0  0 2026-09-21 16:13:49
 0  0      0 6490744  34172 824296    0    0     0    40 17324 25043  3  2 95  0  0  0 2026-09-21 16:13:50
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 0  0      0 6490056  34172 824296    0    0     0     0 20967 29668  5  2 93  0  0  0 2026-09-21 16:13:51
 0  0      0 6489736  34172 824296    0    0     0     0 16282 23786  3  2 95  0  0  0 2026-09-21 16:13:52
 0  0      0 6489736  34172 824296    0    0     0     0 17034 24332  3  2 95  0  0  0 2026-09-21 16:13:53
 1  0      0 6487720  34172 824296    0    0     0     0 19642 28392  4  2 94  0  0  0 2026-09-21 16:13:54
 0  0      0 6472696  34172 824296    0    0     0     0 21231 28940  4  2 94  0  0  0 2026-09-21 16:13:55
 0  0      0 6759584  34172 824120    0    0     0     0 19904 25791  6  3 91  0  0  0 2026-09-21 16:13:56
