COMMAND                   AVG_CPU%
mysqld                        78.0
pidstat                        0.5
jbd2/nvme0n1p1-8               0.3
systemd                        0.0
polkitd                        0.0
kworker/u8:3-events_unbound       0.0
kworker/u8:3-events_power_efficient       0.0
kworker/u8:1-events_power_efficient       0.0
kworker/u8:0-writeback         0.0
kworker/u8:0-events_power_efficient       0.0
kworker/1:0-events             0.0
kworker/0:3-mm_percpu_wq       0.0
kworker/0:3-events             0.0
ksoftirqd/1                    0.0
ksoftirqd/0                    0.0
