COMMAND                   AVG_CPU%
mysqld                       130.4
pidstat                        0.4
jbd2/nvme0n1p1-8               0.2
vmstat                         0.0
systemd-journal                0.0
snapd                          0.0
rsyslogd                       0.0
kworker/u8:4-writeback         0.0
kworker/u8:4-events_power_efficient       0.0
kworker/u8:3-writeback         0.0
kworker/u8:3-flush-259:0       0.0
kworker/u8:0-writeback         0.0
kworker/1:0-events             0.0
kworker/0:1-events             0.0
kcompactd0                     0.0
