COMMAND                   AVG_CPU%
isuride                       97.0
pidstat                        0.5
landscape-sysin                0.4
rcu_sched                      0.2
mysql                          0.2
sh                             0.1
kworker/0:2-events             0.1
ksoftirqd/1                    0.1
ksoftirqd/0                    0.1
vmstat                         0.0
udisksd                        0.0
systemd-journal                0.0
systemd                        0.0
sshd                           0.0
multipathd                     0.0
