COMMAND                   AVG_CPU%
nginx                        114.4
pidstat                        0.6
landscape-sysin                0.5
rcu_sched                      0.2
package-data-do                0.2
kworker/1:1-events             0.1
kworker/0:0-events             0.1
ksoftirqd/1                    0.1
ksoftirqd/0                    0.1
vmstat                         0.0
udisksd                        0.0
systemd-logind                 0.0
systemd-journal                0.0
systemd                        0.0
sshd                           0.0
