COMMAND                   AVG_CPU%
nginx                         90.4
isuride                       64.3
curl                           0.9
pidstat                        0.5
rcu_sched                      0.4
ksoftirqd/1                    0.2
ksoftirqd/0                    0.2
mysql                          0.1
kworker/u8:2-kvfree_rcu_reclaim       0.1
kworker/u8:1-kvfree_rcu_reclaim       0.1
kworker/0:0-events             0.1
systemd-journal                0.0
sh                             0.0
kworker/u8:4-kvfree_rcu_reclaim       0.0
kworker/u8:2-events_power_efficient       0.0
